"component__cGrey","component__rubyTag","component__icon href","component__blueLink","component__toolTip href","component__main_text","component__light_text 2","component__main_text 2","component__sub_wrap","component__main_text 3","component__main_text 4","labels_semiBold","CompletionChart__percentage","hyperlinks_small","component__light_text 6","component__light_text 8","component__light_text 10","component__leadInfo href","component__percentile","component__toolTipText 5","videoStatus__wrapper src","videoStatus__heading","videoStatus__subHeading","videoStatus__ctaStyleActive","component__selfVerifier","component__extra_link 3","component__extra_link href","videoStatus__ctaStyleActive 2","hyperlinks_small 2"
"3 BHK Independent/Builder Floor for Rent in DLF Phase 1 Ultra Luxury Builder Floors, DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/L74166287","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=L74166287","Rs1.35 Lac","| Super built-up  Area:","1350 sq.ft.","L74166287:","12 Mar 2024","11 May 2024","Property score is medium","85%","Add USPs","0","0","690 Credits","https://www.99acres.com/lmsSearch?propId=L74166287","79.89 %","On 13-03-2024, this listing performed better than 79.89 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyInactive_2x.png","Video will be updated shortly","Your photos are under screening","Edit Video","Assign & share for SV","","","",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/O74123531","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=O74123531","Rs11 Crore","| Plot  Area:","360 sq.yards","O74123531:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","3","345 Credits","https://www.99acres.com/lmsSearch?propId=O74123531","53.58 %","On 13-03-2024, this listing performed better than 53.58 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","","","",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/I74123139","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=I74123139","Rs10.5 Crore","| Plot  Area:","360 sq.yards","I74123139:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","5","345 Credits","https://www.99acres.com/lmsSearch?propId=I74123139","52.15 %","On 13-03-2024, this listing performed better than 52.15 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in Independent Floors at DLF City Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/I74123093","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=I74123093","Rs1.5 Lac","| Super built-up  Area:","3240 sq.ft.","I74123093:","09 Mar 2024","08 May 2024","Property score is good","100%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=I74123093","53.56 %","On 13-03-2024, this listing performed better than 53.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in Luxury Builder Floors In Dlf Phase 2, DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/K74122789","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=K74122789","Rs1.4 Lac","| Super built-up  Area:","2700 sq.ft.","K74122789:","09 Mar 2024","08 May 2024","Property score is good","100%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=K74122789","55.56 %","On 13-03-2024, this listing performed better than 55.56 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","Assign & share for SV","","","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/E74122739","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=E74122739","Rs10.5 Crore","| Plot  Area:","360 sq.yards","E74122739:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=E74122739","51.43 %","On 13-03-2024, this listing performed better than 51.43 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","","","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/M74122283","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=M74122283","Rs8 Crore","| Plot  Area:","3270 sq.ft.","M74122283:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","7","345 Credits","https://www.99acres.com/lmsSearch?propId=M74122283","63.44 %","On 13-03-2024, this listing performed better than 63.44 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"Land/Plot for Sale in DLF City Plots Phase 4, DLF Phase 4,Gurgaon","INFINITY","https://www.99acres.com/B74122157","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=B74122157","Rs7.5 Crore","| Plot  Area:","270 sq.yards","B74122157:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=B74122157","61.65 %","On 13-03-2024, this listing performed better than 61.65 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video couldn't be updated","Your eligible photos are <4","Add Images","","","","",""
"Land/Plot for Sale in Sector 28 Gurgaon,Gurgaon","INFINITY","https://www.99acres.com/D74121743","Assigned to: Raj Kumar Swammi","https://www.99acres.com/editproperty/?action=edit&prop_id=D74121743","Rs7.87 Crore","| Plot  Area:","270 sq.yards","D74121743:","09 Mar 2024","08 May 2024","Property score is good","95%","Add USPs","0","8","345 Credits","https://www.99acres.com/lmsSearch?propId=D74121743","54.46 %","On 13-03-2024, this listing performed better than 54.46 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","Edit Video",""
"4 BHK Independent/Builder Floor for Rent in DLF Phase 2,Gurgaon","INFINITY","https://www.99acres.com/W74119775","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=W74119775","Rs1.7 Lac","| Super built-up  Area:","4518 sq.ft.","W74119775:","09 Mar 2024","08 May 2024","Property score is medium","79%","Add USPs","0","0","345 Credits","https://www.99acres.com/lmsSearch?propId=W74119775","57.36 %","On 13-03-2024, this listing performed better than 57.36 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyPending_2x.png","Video missing on listing","You are missing out on more page views","Add Video","Assign & share for SV","","","",""
